,aX,aY,aZ,gX,gY,gZ
60,2.534423828125,-5.63671875,-3.3701171875,-881.7525024414062,392.1612548828125,-321.1159362792969
61,3.1083984375,-7.382080078125,-4.07666015625,-871.0103149414062,403.4527587890625,-241.7091827392578
62,2.892578125,-7.38134765625,-3.80712890625,-643.2881469726562,486.1553955078125,-87.22920989990234
63,2.806884765625,-7.02001953125,-3.65234375,-449.0132751464844,640.5133056640625,-212.5343780517578
64,2.9423828125,-7.380859375,-3.930908203125,-292.7632751464844,822.8253173828125,-441.4162292480469
65,3.507080078125,-7.937255859375,-4.580322265625,-215.8589630126953,971.6290283203125,-587.6564331054688
66,3.26904296875,-7.929931640625,-4.303955078125,-137.0625762939453,989.3902587890625,-417.8566589355469
67,2.96875,-7.22802734375,-4.137939453125,-2.8462727069854736,976.6339111328125,-121.10372161865234
68,2.91015625,-6.91748046875,-4.302490234375,186.3016815185547,1011.0577392578125,84.46268463134766
69,2.77783203125,-6.50244140625,-4.3896484375,337.9740295410156,1069.3463134765625,121.44998931884766
70,2.68359375,-5.84130859375,-4.208740234375,411.8265686035156,1070.8721923828125,218.1296844482422
71,2.43212890625,-4.661376953125,-3.36279296875,346.0306701660156,966.2579345703125,443.5935363769531
72,2.269287109375,-4.087158203125,-2.81201171875,230.2469940185547,842.7838134765625,646.5964965820312
73,2.162353515625,-3.96826171875,-2.48486328125,104.88077545166016,729.8077392578125,791.4939575195312
74,1.9951171875,-3.92529296875,-2.279052734375,6.186930179595947,636.3629150390625,880.0559692382812
75,1.685302734375,-3.516357421875,-2.00732421875,-76.45467376708984,585.9478759765625,876.1497192382812
76,1.3193359375,-3.005615234375,-1.7275390625,-188.8814239501953,544.1387939453125,821.8284301757812
77,1.07958984375,-3.05029296875,-1.75244140625,-418.5567321777344,488.5968017578125,696.0960083007812
78,1.041748046875,-3.44091796875,-2.042724609375,-590.3706665039062,453.8677978515625,603.8718872070312
79,1.100830078125,-3.824951171875,-2.32763671875,-711.5864868164062,424.3267822265625,541.7991333007812
80,1.112060546875,-3.90283203125,-2.44140625,-770.1192016601562,412.7301025390625,489.3699035644531
81,1.033935546875,-3.501220703125,-2.33154296875,-762.9170532226562,432.9937744140625,406.2400207519531
82,1.070068359375,-3.389404296875,-2.330322265625,-727.5776977539062,484.0191650390625,265.9201965332031
83,1.266357421875,-3.603271484375,-2.412109375,-664.6504516601562,554.8809814453125,82.02127838134766
84,1.341064453125,-3.592041015625,-2.3603515625,-570.5342407226562,636.7291259765625,-139.1090850830078
85,1.337158203125,-3.47314453125,-2.235107421875,-516.5791625976562,657.4810791015625,-225.3517608642578
86,1.340576171875,-3.601318359375,-2.202392578125,-471.1690368652344,651.9268798828125,-250.9254913330078
87,1.293701171875,-3.596435546875,-2.052734375,-375.7100524902344,634.5928955078125,-239.3288116455078
88,1.17333984375,-3.343017578125,-1.867431640625,-269.5088806152344,629.3438720703125,-221.3844757080078
89,1.0830078125,-3.203125,-1.740478515625,-145.7906036376953,636.7291259765625,-212.8395538330078
90,1.11865234375,-3.501953125,-1.88623046875,32.37101364135742,656.6876220703125,-214.9147491455078
91,1.192626953125,-3.814697265625,-2.085693359375,169.3339080810547,674.3267822265625,-225.2296905517578
92,1.205078125,-3.943603515625,-2.192138671875,277.9154357910156,684.4586181640625,-235.4225616455078
93,1.171630859375,-3.85693359375,-2.163330078125,350.7914123535156,664.9884033203125,-226.8166046142578
94,1.453369140625,-4.473388671875,-2.359375,358.7259826660156,631.6632080078125,-196.9704132080078
95,1.8515625,-5.374755859375,-2.720703125,384.2386779785156,591.5020751953125,-107.73702239990234
